lsoa11cd,stop_density,peak_frequency,offpeak_frequency,route_diversity,service_span,min_walk_to_stop,total_stops_in_buffer
E01005146,23.49,2801,3796,42,23,80.95,81
E01005660,22.91,849,1374.5,15,19,89.93,67
E01005690,20.12,527.33,856,28,19,259.35,52
E01006163,17.22,616.67,819,25,23,270.75,41
E01004946,12.74,221,316,6,18,130.09,36
E01005325,11.97,612.67,766,8,19,122.3,31
E01004956,10.13,875.67,1433,39,19,444.89,57
E01006243,9.19,405,672,15,19,227.42,39
E01004892,7.81,454.67,709.5,16,19,592.92,63
E01004969,3.61,325.33,445,15,23,521.7,27
